sep= 
Time [s]	f1 [Hz]	f3 [Hz]	f5 [Hz]	f7 [Hz]	f9 [Hz]	f11 [Hz]	f13 [Hz]	D1 [ppm]	D3 [ppm]	D5 [ppm]	D7 [ppm]	D9 [ppm]	D11 [ppm]	D13 [ppm]
612,3409	-12,7574	2,0343	2,3033	2,3339	2,2470	2,5815	2,4369	-0,5032	-0,2810	0,0870	0,0389	-0,0096	0,0030	-0,0691
616,9949	-12,8245	2,0373	2,2624	2,2911	2,2449	2,4913	2,4419	-0,4922	-0,2846	0,0820	0,0443	-0,0097	0,0435	-0,0493
621,6204	-12,9126	2,0551	2,2773	2,3392	2,1608	2,4728	2,5659	-0,5080	-0,2843	0,0801	0,0532	-0,0002	0,0573	-0,0947
626,2515	-13,0056	2,0500	2,3146	2,3353	2,2281	2,5530	2,4246	-0,5447	-0,2877	0,0880	0,0265	0,0045	-0,0403	-0,1040
630,9063	-13,2095	2,0869	2,2926	2,3983	2,1565	2,5415	2,4632	-0,5428	-0,2824	0,0707	0,0250	0,0091	-0,0252	-0,0523
635,5443	-13,3115	2,0489	2,3304	2,3850	2,2894	2,7208	2,5365	-0,5522	-0,2815	0,0715	0,0408	0,0080	-0,0665	-0,0874
640,1639	-13,3845	2,0865	2,3447	2,4030	2,2315	2,6841	2,5367	-0,5618	-0,2913	0,0753	0,0210	-0,0023	0,0320	-0,0883
644,8625	-13,4776	2,0784	2,3419	2,3871	2,1226	2,6185	2,6041	-0,5669	-0,2901	0,0762	0,0208	0,0066	-0,0315	-0,0342
649,5155	-13,5872	2,0852	2,3716	2,4063	2,3224	2,5771	2,5840	-0,5865	-0,2960	0,0789	0,0273	0,0046	0,0262	-0,0604
654,0870	-13,6781	2,0887	2,3415	2,3847	2,2766	2,5412	2,5084	-0,6197	-0,3074	0,0812	0,0280	0,0019	0,0406	-0,0171
658,6766	-13,7394	2,0508	2,3692	2,4442	2,3024	2,4547	2,5237	-0,6060	-0,3068	0,0761	0,0147	-0,0259	-0,0380	-0,0153
663,4010	-13,8152	2,0687	2,3481	2,3842	2,2557	2,5877	2,5377	-0,6314	-0,2961	0,0593	0,0176	-0,0010	-0,0149	-0,0572
668,0214	-13,8910	2,1035	2,3429	2,4089	2,2591	2,6361	2,5475	-0,6429	-0,3125	0,0764	0,0216	-0,0193	-0,0134	-0,0508
672,6214	-14,0352	2,0930	2,4093	2,4187	2,2439	2,6707	2,5607	-0,6661	-0,3042	0,0663	0,0331	-0,0188	-0,0170	-0,0609
677,1938	-14,1507	2,0622	2,4023	2,4136	2,2585	2,6734	2,5516	-0,6861	-0,3053	0,0716	0,0392	0,0058	0,0033	-0,0861
681,7877	-14,2223	2,1324	2,3486	2,3433	2,2549	2,3979	2,5666	-0,7029	-0,3259	0,0579	0,0383	-0,0094	0,0885	-0,0531
686,4656	-14,3014	2,1524	2,4368	2,4059	2,2504	2,4219	2,4547	-0,7052	-0,3266	0,0606	0,0182	-0,0139	0,0214	-0,0765
691,1818	-14,3004	2,1392	2,3922	2,4603	2,2646	2,5940	2,5722	-0,7192	-0,3348	0,0688	0,0243	-0,0132	-0,0277	-0,0359
695,8395	-13,9867	2,2645	2,4448	2,4957	2,2933	2,8515	2,7070	-0,7057	-0,3181	0,0752	0,0063	-0,0157	0,0052	-0,0759
700,5206	-14,0984	2,2161	2,4693	2,5085	2,4017	2,7175	2,5932	-0,6979	-0,3112	0,0615	0,0363	0,0011	-0,0151	-0,0435
705,2567	-14,1029	2,2607	2,5169	2,5540	2,3650	2,7215	2,7613	-0,7212	-0,3232	0,0667	0,0211	0,0097	0,0825	-0,0769
710,0004	-14,1622	2,2665	2,5396	2,5892	2,4773	2,7213	2,6989	-0,7362	-0,3203	0,0516	-0,0022	-0,0186	0,0087	-0,0680
714,6040	-14,1433	2,3059	2,5705	2,5784	2,3356	2,5142	2,7233	-0,7384	-0,3291	0,0582	0,0122	-0,0106	0,0611	-0,0289
719,2835	-14,2198	2,2901	2,5553	2,5352	2,4737	2,8768	2,7738	-0,7621	-0,3256	0,0564	0,0298	-0,0198	-0,0006	-0,0296
723,8813	-14,4171	2,2851	2,5504	2,5584	2,4793	2,6160	2,8170	-0,7593	-0,3308	0,0617	0,0125	0,0017	0,0976	-0,0485
728,4740	-14,5586	2,2771	2,5912	2,5981	2,4625	2,8696	2,8654	-0,7836	-0,3284	0,0527	0,0161	-0,0034	-0,0220	-0,0537
733,0870	-14,6951	2,2823	2,5801	2,5736	2,4243	2,7345	2,7881	-0,7939	-0,3352	0,0667	0,0223	-0,0193	-0,0292	-0,0769
737,6758	-14,8212	2,2933	2,5765	2,5405	2,5522	2,5581	2,8008	-0,7943	-0,3238	0,0753	0,0333	-0,0022	0,1475	-0,0720
742,3859	-14,9095	2,3036	2,5807	2,6316	2,4510	2,5831	2,7787	-0,8217	-0,3246	0,0720	0,0281	0,0127	-0,0335	-0,0571
747,0902	-15,0418	2,2720	2,5540	2,5850	2,5125	2,8310	2,8525	-0,8357	-0,3155	0,0775	0,0316	-0,0040	0,0487	-0,0697
751,7524	-15,1512	2,3117	2,4900	2,5354	2,5361	2,8030	2,7655	-0,8705	-0,3394	0,0716	0,0139	0,0071	-0,0676	-0,0765
756,4569	-15,2321	2,3039	2,6330	2,6055	2,5805	2,7640	2,8343	-0,8898	-0,3185	0,0625	0,0341	0,0111	0,0429	-0,1100
761,1237	-15,3180	2,3043	2,6072	2,6669	2,5430	2,7243	2,8782	-0,8949	-0,3199	0,0723	0,0363	-0,0140	0,0726	-0,0642
765,7981	-15,4015	2,3295	2,6177	2,6126	2,5467	2,8391	2,7963	-0,9004	-0,3107	0,0609	0,0252	-0,0123	-0,0456	-0,0187
770,4752	-15,4814	2,3211	2,6101	2,6980	2,5471	2,7510	2,8353	-0,9316	-0,3276	0,0655	0,0260	-0,0082	-0,0360	-0,0590
774,9951	-15,5835	2,3062	2,6803	2,6576	2,5346	2,8093	2,8087	-0,9740	-0,3328	0,0521	0,0253	0,0034	0,0234	-0,0535
